Player,GP,FT,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,DREB,OREB,AST,STL,TO,BLK,PTS,RPG,APG,SPG,BPG,EFF,PPR
Clarence Fernandez,5,9,0,7,11,63.6,1,1,100.0,2,4,50.0,3.2,0.6,0.4,0.0,3.4,,,,,,,100
Felix Tat,9,10,0,13,47,27.7,2,18,11.1,0,0,0.0,2.2,1.2,0.6,0.1,3.3,,,,,,,100
Tien Huynh,9,16,0,14,37,37.8,4,15,26.7,0,0,0.0,2.1,0.3,0.4,0.1,3.3,,,,,,,100
Chad Staff,8,5,0,11,26,42.3,0,4,0.0,4,5,80.0,6.6,0.4,0.4,0.1,3.3,,,,,,,100
Kian Evangelista,7,7,0,10,34,29.4,0,2,0.0,2,9,22.2,4.3,2.7,1.4,0.3,3.1,,,,,,,100
Charles Jumao-as,5,7,1,6,24,25.0,1,11,9.1,2,6,33.3,4.6,0.8,1.8,0.0,3.0,,,,,,,100
Zubair Principe Mohammed,9,11,1,11,51,21.6,5,30,16.7,0,0,0.0,4.2,0.4,0.3,0.1,3.0,,,,,,,100
Mirad Debesay,1,2,0,1,5,20.0,1,4,25.0,0,0,0.0,6.0,0.0,0.0,0.0,3.0,,,,,,,100
David Pineda,2,2,0,3,14,21.4,0,3,0.0,0,0,0.0,3.0,0.5,0.5,0.0,3.0,,,,,,,100
David Chu,5,4,0,6,25,24.0,3,19,15.8,0,0,0.0,2.4,0.4,0.0,0.0,3.0,,,,,,,100
Adrian Furlan,4,2,0,5,10,50.0,2,4,50.0,0,0,0.0,2.5,0.8,0.3,0.0,3.0,,,,,,,100
Mark Garcia,9,21,0,10,66,15.2,4,41,9.8,2,8,25.0,4.6,0.3,1.7,0.0,2.9,,,,,,,100
Erick Coronia,8,7,0,9,35,25.7,3,11,27.3,1,2,50.0,1.9,0.5,0.3,0.0,2.8,,,,,,,100
Ajay Alford,4,3,0,5,19,26.3,0,4,0.0,1,3,33.3,4.8,1.8,1.5,0.3,2.8,,,,,,,100
Gideon Ogan,4,9,0,3,25,12.0,2,20,10.0,3,6,50.0,6.0,1.0,0.8,0.3,2.8,,,,,,,100
Matthew Barbosa,4,4,0,4,16,25.0,3,10,30.0,0,0,0.0,3.3,0.5,0.8,0.0,2.8,,,,,,,100
